Existing account,Duration month,Credit history,Purpose,Credit amount,Saving,Employment duration,Installment rate,Personal status,Debtors,Residential Duration,Property,Age,Installment plans,Housing,Number of credits,Job,Liable People,Telephone,Foreign worker,Classification
0,0.125501505,4,4,0.358310574,4,4,1,2,0,1,0,0.916684984,2,1,0.442507049,2,0,1,0,1
1,0.851310727,2,4,0.736969668,0,2,0.442507049,1,0,0.442507049,0,0.10469051,2,1,0,2,0,0,0,2
3,0.356398274,4,7,0.494135188,0,3,0.442507049,2,0,0.756470797,0,0.68635955,2,1,0,1,1,0,0,1
0,0.802590423,2,3,0.802374822,0,3,0.442507049,2,2,1,1,0.623901466,2,2,0,2,1,0,0,1
0,0.600307717,3,0,0.690315213,0,2,0.756470797,2,0,1,3,0.744008224,2,2,0.442507049,2,1,0,0,2
3,0.74653634,2,7,0.834665006,4,2,0.442507049,2,0,1,3,0.440289285,2,2,0,1,1,1,0,1
3,0.600307717,2,3,0.564406626,2,4,0.756470797,2,0,1,1,0.744008224,2,1,0,2,0,0,0,1
1,0.74653634,2,1,0.7730195,0,2,0.442507049,2,0,0.442507049,2,0.440289285,2,0,0,3,0,1,0,1
3,0.356398274,2,4,0.582102184,3,3,0.442507049,0,0,1,0,0.847491541,2,1,0,1,0,0,0,1
1,0.680542574,4,0,0.70709068,0,0,1,3,0,0.442507049,2,0.278324539,2,1,0.442507049,3,0,0,0,2
1,0.356398274,2,0,0.38211844,0,1,0.756470797,1,0,0,2,0.196527382,2,0,0,2,0,0,0,2
0,0.851310727,2,9,0.661778647,0,1,0.756470797,1,0,1,1,0.167148594,2,0,0,2,0,0,0,2
1,0.356398274,2,4,0.42646617,0,2,0,1,0,0,2,0.10469051,2,1,0,2,0,1,0,1
0,0.600307717,4,0,0.364203904,0,4,1,2,0,1,2,0.835311385,2,1,0.442507049,1,0,0,0,2
0,0.433846128,2,0,0.400750309,0,2,0.442507049,1,0,1,2,0.278324539,2,0,0,2,0,0,0,1
0,0.600307717,2,4,0.379771725,1,2,1,1,0,0.442507049,2,0.375112275,2,1,0,1,0,0,0,2
3,0.600307717,4,4,0.527962797,4,4,1,2,0,1,1,0.744008224,2,1,0.442507049,2,0,0,0,1
0,0.680542574,0,9,0.807918713,4,1,0.442507049,2,0,0.756470797,2,0.196527382,0,1,0.756470797,2,0,0,0,1
1,0.600307717,2,1,0.911173364,0,4,1,1,0,0.442507049,3,0.607437879,2,2,0,3,0,1,0,2
3,0.600307717,2,4,0.608740117,2,4,0.756470797,2,0,0.442507049,2,0.352062362,2,1,0,2,1,1,0,1
3,0.258538461,4,0,0.498315553,0,2,1,2,0,1,2,0.671226448,2,1,0.756470797,2,0,1,0,1
0,0.125501505,2,4,0.548440658,2,2,0.442507049,2,0,0.756470797,0,0.607437879,2,0,0,2,1,0,0,1
0,0.294088411,4,0,0.509698597,0,1,0,2,0,0.756470797,0,0.671226448,2,0,0.442507049,1,1,0,1,1
1,0.356398274,4,1,0.459231374,1,1,0.756470797,2,0,1,1,0.607437879,2,1,0,2,0,0,0,1
3,0.294088411,4,3,0.491118635,4,2,0.442507049,3,0,0,2,0.224797268,2,1,0.442507049,2,0,0,1,1
0,0.125501505,2,3,0.395891947,0,2,0,2,0,0.442507049,0,0.460812845,0,1,0,1,0,1,0,1
3,0.125501505,0,4,0.123680107,0,4,1,3,0,1,2,0.519210956,2,1,0,1,0,0,0,1
2,0.356398274,1,4,0.114223228,3,2,0.756470797,1,0,0.756470797,0,0.573383693,2,0,0.442507049,2,0,0,0,1
1,0.175307667,2,4,0.527097286,0,2,0.756470797,2,2,0.442507049,0,0.419187521,2,1,0,2,0,0,0,1
0,0.933015988,3,9,0.769237218,0,4,0.756470797,2,0,1,3,0.871273319,2,1,0.442507049,2,0,1,0,2
1,0.497944926,2,9,0.472880013,3,1,0.756470797,3,0,0.756470797,0,0.460812845,0,1,0,2,0,1,0,1
0,0.600307717,2,3,0.645676445,0,2,0.442507049,2,0,0.442507049,2,0.252038927,1,1,0,2,0,0,0,1
1,0.497944926,2,0,0.733621476,1,2,0.442507049,2,0,0.442507049,2,0.328280585,2,1,0.442507049,2,0,1,0,1
3,0.356398274,4,9,0.376482869,4,4,1,2,0,1,3,0.797535495,2,0,0,1,0,0,0,1
2,0.356398274,2,3,0.412233679,0,1,1,1,0,0,1,0.397474028,0,1,0,3,0,1,0,1
1,0.827745492,4,4,0.684312804,0,1,1,2,0,0.442507049,1,0.196527382,2,1,0.442507049,1,0,0,0,2
3,0.851310727,4,7,0.743106321,0,2,0,2,0,0.756470797,3,0.352062362,0,2,0,2,0,1,0,1
2,0.497944926,2,4,0.494578778,0,2,1,2,1,0.442507049,0,0.480789044,1,1,0,2,0,0,0,2
2,0.294088411,2,5,0.369193482,0,2,0.442507049,2,0,0.442507049,2,0.480789044,2,1,0,2,0,1,0,1
1,0.258538461,2,4,0.140501806,0,2,1,2,0,0.756470797,0,0.167148594,2,1,0,2,0,0,0,1
3,0.680542574,2,4,0.519059655,2,4,1,2,0,0.442507049,2,0.328280585,0,1,0,3,0,0,0,1
1,0.356398274,2,4,0.356111747,2,2,0.756470797,0,0,0,2,0.224797268,2,1,0,2,0,1,0,1
1,0.497944926,3,6,0.746659616,0,2,0.442507049,2,0,1,0,0.607437879,2,1,0,1,1,1,0,1
0,0.680542574,4,1,0.746021004,1,3,0,3,0,1,2,0.167148594,2,0,0.442507049,2,0,0,0,1
0,0.851310727,4,1,0.744359943,0,4,1,1,0,1,3,0.810340304,1,2,0.442507049,1,0,0,0,2
3,0.326542972,4,0,0.399086441,0,1,1,1,0,1,2,0.440289285,2,1,0.442507049,3,0,0,0,1
3,0.74653634,2,4,0.515643833,2,4,1,2,0,1,2,0.519210956,2,1,0,2,0,0,0,1
0,0.125501505,2,1,0.392137445,2,0,0,1,0,0.442507049,1,0.136570345,2,0,0,0,0,1,0,1
3,0.326542972,4,0,0.782214763,0,2,0,2,0,1,1,0.519210956,2,1,0.442507049,1,0,0,0,1
3,0.356398274,2,4,0.491568005,1,2,1,1,1,0.442507049,0,0.278324539,2,1,0,2,0,0,0,1
1,0.600307717,3,3,0.519059655,4,1,1,2,0,0.442507049,1,0.303718939,0,1,0,1,0,0,0,1
1,0.642578427,3,1,0.737516545,0,4,0,2,0,0.442507049,2,0.328280585,2,1,0.442507049,3,0,1,0,1
3,0.356398274,2,4,0.376114555,0,2,0.756470797,2,0,0.442507049,2,0.196527382,2,1,0,2,0,0,0,1
3,0.497944926,2,1,0.605185201,4,2,0.442507049,2,0,0,1,0.352062362,2,1,0,2,0,1,0,1
1,0.74653634,3,0,0.508031452,0,4,1,2,0,1,3,0.797535495,0,2,0.442507049,2,0,1,0,2
3,0.125501505,1,0,0.265119465,4,2,0,2,2,0.442507049,0,0.224797268,1,1,0,1,1,0,0,1
1,0.356398274,2,4,0.756358409,4,0,0.442507049,2,0,0,3,0.730006638,2,1,0,3,0,1,0,2
3,0.74653634,4,4,0.847442477,0,2,0.442507049,1,0,0.442507049,2,0.352062362,1,1,0.442507049,2,0,0,0,1
2,0.497944926,2,0,0.47864561,0,4,0.756470797,1,0,0.442507049,2,0.136570345,2,1,0,3,0,0,0,1
0,0.74653634,4,3,0.747595581,0,1,1,1,1,1,3,0.136570345,2,0,0.442507049,1,0,1,0,2
1,0.258538461,2,9,0.398752236,0,2,0.442507049,3,0,0,0,0.252038927,0,1,0,2,0,1,0,1
1,0.433846128,4,4,0.421969428,4,4,1,2,2,1,0,0.701192967,2,1,0.442507049,2,0,1,0,1
1,0.74653634,0,9,0.47769454,0,4,1,2,0,1,3,0.847491541,2,2,0,3,0,1,0,2
1,0.851310727,0,9,0.942981144,0,2,0.442507049,2,0,0.442507049,2,0.196527382,2,1,0,2,0,1,0,2
3,0.600307717,2,4,0.59120249,0,1,1,1,0,1,1,0.224797268,2,1,0,2,0,1,0,1
3,0.642578427,2,6,0.705125954,4,4,1,2,0,1,1,0.671226448,2,1,1,2,1,1,0,1
3,0.356398274,2,4,0.50231502,0,1,0.442507049,1,0,0.442507049,2,0.303718939,0,1,0,2,0,0,0,1
1,0.356398274,2,0,0.323618953,3,2,1,3,0,0,0,0.10469051,2,1,0,2,0,0,0,1
3,0.74653634,2,7,0.461157791,0,2,1,2,0,1,3,0.480789044,1,2,0,2,0,1,0,2
